Paying Month,Purchase Source,Continent,Paying Year,Purchase Description,Detailed Description,Amount,TaxAmountPHP,Probability,Customer,Customer Size,Currency,CurrencyRate,Product Details,ProductCategory,Industry,Sub-Industry,Type of Purchase,AmountLocal,TaxAmountLocal
01/06/2020 0:00,Online Website,Asia,2020,Lite Item 8,XXX_Line_Item_2_A,71980,7198,1.,Customer20,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,71980,933.48
01/08/2020 0:00,Online Website,Asia,2021,Line Item 16,XXX_Line_Item_3_A,10992,1099.2,1.,Customer21,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,10992,78.64
01/11/2020 0:00,Online Website,Asia,2021,Line Item 17,XXX_Line_Item_1_A,16408,1640.8,1.,Customer22,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,16408,15
01/11/2020 0:00,Online Website,Asia,2021,Line Item 18,XXX_Line_Item_2_A,3554,355.36,1.,Customer23,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,3554,599
01/12/2020 0:00,Online Website,Asia,2021,Lite Item 9,XXX_Line_Item_3_A,30768,3076.88,1.,Customer24,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,0.46
01/02/2022 0:00,Online Website,Asia,2022,Line Item 19,XXX_Line_Item_1_A,25200,2520,1.,Customer25,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,25200,110.3
01/03/2020 0:00,Online Website,Asia,2020,Line Item 20,XXX_Line_Item_2_A,12390,1239,1.,Customer26,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,12390,1216.16
01/12/2020 0:00,Online Website,North America,2021,Line Item 21,XXX_Line_Item_3_A,111402.72,0,1.,Customer27,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,85800,588.24
01/03/2020 0:00,Online Website,North America,2020,Lite Item 10,XXX_Line_Item_1_A,36436.5,0,1.,Customer28,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,22500,7.68
01/11/2020 0:00,Online Website,North America,2021,Line Item 22,XXX_Line_Item_2_A,12984.96,0,1.,Customer29,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,9600,3837
01/04/2021 0:00,Online Website,North America,2021,Line Item 23,XXX_Line_Item_3_A,110338.8,0,1.,Customer30,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,85800,2520
01/03/2020 0:00,Online Website,Asia,2020,Line Item 24,XXX_Line_Item_1_A,19980,1998,1.,Customer31,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,19980,-3412.38
01/09/2020 0:00,Online Website,Asia,2021,Lite Item 11,XXX_Line_Item_2_A,13078,1307.8,1.,Customer32,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,13078,-199.6
01/12/2020 0:00,Online Website,Asia,2021,Line Item 25,XXX_Line_Item_3_A,30768,3076.88,1.,Customer33,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,-60
01/12/2020 0:00,Online Website,Asia,2021,Line Item 26,XXX_Line_Item_1_A,30768,3076.88,1.,Customer34,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,-696
01/05/2021 0:00,Online Website,Asia,2021,Line Item 27,XXX_Line_Item_2_A,33370,3336.92,1.,Customer35,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,33370,-1646.4
01/06/2021 0:00,Online Website,Asia,2021,Lite Item 12,XXX_Line_Item_3_A,4396,439.6,1.,Customer36,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,4396,-1400.8
01/06/2021 0:00,Online Website,Asia,2021,Line Item 28,XXX_Line_Item_1_A,188756,18875.56,1.,Customer37,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,188756,599
01/05/2022 0:00,Online Website,Asia,2022,Line Item 29,XXX_Line_Item_2_A,86610,0,1.,Customer38,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,86610,200
01/01/2021 0:00,Online Website,North America,2021,Line Item 30,XXX_Line_Item_3_A,37408.8,0,1.,Customer39,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,28600,4001
01/06/2020 0:00,Online Website,North America,2020,Lite Item 13,XXX_Line_Item_1_A,87426,0,1.,Customer40,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,60000,901
01/05/2020 0:00,Online Website,North America,2020,Line Item 31,XXX_Line_Item_2_A,33788.25,0,1.,Customer41,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,22500,4.5
01/01/2020 0:00,Online Website,Asia,2020,Line Item 32,XXX_Line_Item_3_A,13078,1307.8,1.,Customer42,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,13078,3.64
01/04/2020 0:00,Online Website,Asia,2020,Line Item 33,XXX_Line_Item_1_A,377512,37751.12,1.,Customer43,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,377512,371.24
01/05/2020 0:00,Online Website,Asia,2020,Lite Item 14,XXX_Line_Item_2_A,283134,28313.34,1.,Customer44,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,283134,0.8
01/12/2020 0:00,Online Website,Asia,2021,Line Item 34,XXX_Line_Item_3_A,30768,3076.88,1.,Customer45,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,4798.8
01/05/2021 0:00,Online Website,Asia,2021,Line Item 35,XXX_Line_Item_1_A,8342,834.24,1.,Customer46,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,8342,519.6
01/09/2021 0:00,Online Website,Asia,2022,Line Item 36,XXX_Line_Item_2_A,26494,2649.34,1.,Customer47,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,26494,191.6
01/10/2021 0:00,Online Website,Asia,2022,Lite Item 15,XXX_Line_Item_3_A,173220,0,1.,Customer48,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,173220,1260.8
01/12/2019 0:00,Online Website,Asia,2020,Line Item 37,XXX_Line_Item_1_A,86570,8657,1.,Customer49,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,86570,1260.8
01/01/2020 0:00,Online Website,Asia,2020,Line Item 38,XXX_Line_Item_2_A,188756,18875.56,1.,Customer50,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,188756,607.92
01/03/2020 0:00,Online Website,Asia,2020,Line Item 39,XXX_Line_Item_3_A,46434,4643.5,1.,Customer51,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,46434,1260
01/03/2020 0:00,Online Website,Asia,2020,Lite Item 16,XXX_Line_Item_1_A,12390,1239,1.,Customer52,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,12390,72.26
01/04/2020 0:00,Online Website,Asia,2020,Line Item 40,XXX_Line_Item_2_A,24740,2474,1.,Customer53,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,24740,88.62
01/04/2020 0:00,Online Website,Asia,2020,Line Item 41,XXX_Line_Item_3_A,90380,9038.04,1.,Customer54,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,90380,22.08
01/06/2020 0:00,Online Website,Asia,2020,Line Item 42,XXX_Line_Item_1_A,52312,5231.2,1.,Customer55,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,52312,18.9
01/07/2020 0:00,Online Website,Asia,2021,Lite Item 17,XXX_Line_Item_2_A,3300,330,1.,Customer56,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,3300,0.8
01/08/2020 0:00,Online Website,Asia,2021,Line Item 43,XXX_Line_Item_3_A,2748,274.8,1.,Customer57,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,2748,64.26
01/09/2020 0:00,Online Website,Asia,2021,Line Item 44,XXX_Line_Item_1_A,30768,3076.88,1.,Customer58,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,55.74
01/09/2020 0:00,Online Website,Asia,2021,Line Item 45,XXX_Line_Item_2_A,13352,1335.16,1.,Customer59,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,13352,2
01/09/2020 0:00,Online Website,Asia,2021,Lite Item 18,XXX_Line_Item_3_A,49942,4994.2,1.,Customer60,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,49942,933.48
01/11/2020 0:00,Online Website,Asia,2021,Line Item 46,XXX_Line_Item_1_A,4102,410.2,1.,Customer61,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,4102,250.96
01/12/2020 0:00,Online Website,Asia,2021,Line Item 47,XXX_Line_Item_2_A,26494,2649.34,1.,Customer62,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,26494,111.52
01/12/2020 0:00,Online Website,Asia,2021,Line Item 48,XXX_Line_Item_3_A,30768,3076.88,1.,Customer63,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,66.4
01/12/2020 0:00,Online Website,Asia,2021,Lite Item 19,XXX_Line_Item_1_A,30414,3041.1,1.,Customer64,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30414,911.76
01/05/2021 0:00,Online Website,Asia,2021,Line Item 49,XXX_Line_Item_2_A,8342,834.24,1.,Customer65,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,8342,2.4
01/06/2021 0:00,Online Website,Asia,2021,Line Item 50,XXX_Line_Item_3_A,61012,6101.2,1.,Customer66,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,61012,35.84
01/02/2022 0:00,Online Website,Asia,2022,Line Item 51,XXX_Line_Item_1_A,6300,630,1.,Customer67,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,6300,5880
01/02/2022 0:00,Online Website,Asia,2022,Lite Item 20,XXX_Line_Item_2_A,86610,0,1.,Customer68,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,86610,6519.4
01/07/2020 0:00,Online Website,Asia,2021,Line Item 52,XXX_Line_Item_3_A,377512,37751.12,1.,Customer69,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,377512,2100
01/12/2020 0:00,Online Website,Asia,2021,Line Item 53,XXX_Line_Item_1_A,30768,3076.88,1.,Customer70,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,1405.8
01/09/2020 0:00,Online Website,Asia,2021,Line Item 54,XXX_Line_Item_2_A,13078,1307.8,1.,Customer71,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,13078,88.84
01/11/2020 0:00,Online Website,Asia,2021,Lite Item 21,XXX_Line_Item_3_A,283134,28313.34,1.,Customer72,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,283134,59.6
01/06/2021 0:00,Online Website,Asia,2021,Line Item 55,XXX_Line_Item_1_A,17584,1758.4,1.,Customer73,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,17584,8598
01/05/2020 0:00,Online Website,North America,2020,Line Item 56,XXX_Line_Item_2_A,30034,0,1.,Customer74,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,20000,4680
01/03/2020 0:00,Online Website,North America,2020,Line Item 57,XXX_Line_Item_3_A,46638.72,0,1.,Customer75,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,28800,1107.62
01/01/2023 0:00,Online Website,South America,2023,Lite Item 22,XXX_Line_Item_1_A,196537.84,0,1.,Customer76,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,112064,320
01/04/2020 0:00,Online Website,Asia,2020,Line Item 58,XXX_Line_Item_2_A,52312,5231.2,1.,Customer77,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,52312,3998
01/05/2021 0:00,Online Website,Asia,2021,Line Item 59,XXX_Line_Item_3_A,21980,2198,1.,Customer78,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,21980,1348
01/02/2021 0:00,Online Website,Asia,2021,Line Item 60,XXX_Line_Item_1_A,16684,1668.46,1.,Customer79,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,16684,1069
01/01/2023 0:00,Online Website,Asia,2023,Line Item 61,XXX_Line_Item_3_A,22,2.24,1.,Customer81,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,22,23.48
01/01/2023 0:00,Online Website,Asia,2023,Line Item 62,XXX_Line_Item_1_A,1918,191.88,1.,Customer82,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,1918,499
01/01/2023 0:00,Online Website,Asia,2023,Line Item 63,XXX_Line_Item_2_A,334,33.4,1.,Customer83,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,334,499
01/01/2023 0:00,Online Website,Asia,2023,Lite Item 24,XXX_Line_Item_3_A,158,15.72,1.,Customer84,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,158,17313
01/01/2023 0:00,Online Website,Asia,2023,Line Item 64,XXX_Line_Item_1_A,150,15,1.,Customer85,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,150,0.82
01/01/2023 0:00,Online Website,Asia,2023,Line Item 65,XXX_Line_Item_2_A,4,0.46,1.,Customer86,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,4,2420
01/01/2023 0:00,Online Website,Asia,2023,Line Item 66,XXX_Line_Item_3_A,1102,110.3,1.,Customer87,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,1102,5.58
01/01/2023 0:00,Online Website,Asia,2023,Lite Item 25,XXX_Line_Item_1_A,5882,588.24,1.,Customer88,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,5882,14.4
01/01/2023 0:00,Online Website,Asia,2023,Line Item 67,XXX_Line_Item_2_A,76,7.68,1.,Customer89,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,76,202.3
01/01/2023 0:00,Online Website,Asia,2023,Line Item 68,XXX_Line_Item_3_A,44,4.5,1.,Customer90,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,44,212.8
01/01/2023 0:00,Online Website,Asia,2023,Line Item 69,XXX_Line_Item_1_A,36,3.64,1.,Customer91,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,36,838.4
01/01/2023 0:00,Online Website,Asia,2023,Lite Item 26,XXX_Line_Item_2_A,8,0.8,1.,Customer92,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,8,9878.4
01/02/2023 0:00,Online Website,Asia,2023,Line Item 70,XXX_Line_Item_3_A,220,22.08,1.,Customer93,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,220,784
01/02/2023 0:00,Online Website,Asia,2023,Line Item 71,XXX_Line_Item_1_A,8,0.8,1.,Customer94,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,8,1.88
01/02/2023 0:00,Online Website,Asia,2023,Line Item 72,XXX_Line_Item_2_A,558,55.74,1.,Customer95,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,558,49.66
01/02/2023 0:00,Online Website,Asia,2023,Lite Item 27,XXX_Line_Item_3_A,1116,111.52,1.,Customer96,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,1116,30.64
01/02/2023 0:00,Online Website,Asia,2023,Line Item 73,XXX_Line_Item_1_A,24,2.4,1.,Customer97,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,24,486
01/02/2023 0:00,Online Website,Asia,2023,Line Item 74,XXX_Line_Item_2_A,358,35.84,1.,Customer98,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,358,4860
01/02/2023 0:00,Online Website,Asia,2023,Line Item 75,XXX_Line_Item_3_A,58800,5880,1.,Customer99,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,58800,1496.8
01/02/2023 0:00,Online Website,Asia,2023,Lite Item 28,XXX_Line_Item_1_A,21000,2100,1.,Customer100,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,21000,72
01/02/2023 0:00,Online Website,Asia,2023,Line Item 76,XXX_Line_Item_2_A,14058,1405.8,1.,Customer101,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,14058,6
01/02/2023 0:00,Online Website,Asia,2023,Line Item 77,XXX_Line_Item_3_A,3200,320,1.,Customer102,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Professional Services,3200,588.24
01/03/2023 0:00,Online Website,Asia,2023,Line Item 78,XXX_Line_Item_1_A,13480,1348,1.,Customer103,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,13480,46.28
01/03/2023 0:00,Online Website,Asia,2023,Lite Item 29,XXX_Line_Item_2_A,234,23.48,1.,Customer104,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,234,600
01/03/2023 0:00,Online Website,Asia,2023,Line Item 79,XXX_Line_Item_3_A,8,0.82,1.,Customer105,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,8,466.28
01/03/2023 0:00,Online Website,Asia,2023,Line Item 80,XXX_Line_Item_1_A,56,5.58,1.,Customer106,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,56,-1650
01/03/2023 0:00,Online Website,Asia,2023,Line Item 81,XXX_Line_Item_2_A,144,14.4,1.,Customer107,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,144,150
01/03/2023 0:00,Online Website,Asia,2023,Lite Item 30,XXX_Line_Item_3_A,2024,202.3,1.,Customer108,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,2024,2.4
01/03/2023 0:00,Online Website,Asia,2023,Line Item 82,XXX_Line_Item_1_A,20,1.88,1.,Customer109,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,20,2036.08
01/03/2023 0:00,Online Website,Asia,2023,Line Item 83,XXX_Line_Item_2_A,496,49.66,1.,Customer110,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,496,958.4
01/03/2023 0:00,Online Website,Asia,2023,Line Item 84,XXX_Line_Item_3_A,306,30.64,1.,Customer111,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,306,3034.72
01/03/2023 0:00,Online Website,Asia,2023,Lite Item 31,XXX_Line_Item_1_A,5882,588.24,1.,Customer112,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,5882,834.08
01/03/2023 0:00,Online Website,Asia,2023,Line Item 85,XXX_Line_Item_2_A,462,46.28,1.,Customer113,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,462,3399.8
01/03/2023 0:00,Online Website,Asia,2023,Line Item 86,XXX_Line_Item_3_A,4662,466.28,1.,Customer114,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,4662,3998
01/03/2023 0:00,Online Website,Asia,2023,Lite Item 32,XXX_Line_Item_2_A,766,0,1.,Customer116,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,766,104.6
01/03/2023 0:00,Online Website,Asia,2023,Line Item 88,XXX_Line_Item_3_A,1046,104.6,1.,Customer117,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,1046,649.76
01/03/2023 0:00,Online Website,Asia,2023,Line Item 89,XXX_Line_Item_1_A,6498,649.76,1.,Customer118,0-50,AUD,,Product_Details_xxxxxxx,Product B,Healthcare,HealthCare and Life Sciences,Subscriptions,6498,933.48
